cve_entidad,nom_entidad,cve_municipio,nom_municipio,edad_primer_union,num_hijos,nivel_escolaridad,estado_civil_id,estado_civil_desc,estrato_socioeconomico,pareja_trabaja_id,pareja_trabaja_desc,ingreso_pareja,dinero_propio_id,dinero_propio_desc,apoyo_gobierno_id,apoyo_gobierno_desc,tiene_ahorros_id,tiene_ahorros_desc,propietaria_vivienda_id,propietaria_vivienda_desc,sufrio_violencia_pareja,factor_expansion,autonomia_financiera,bloque_educativo
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,3,1,sí,14000,2,no,2,no,2,no,2,no,0,146,baja,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,1,sí,5000,1,sí,2,no,1,sí,1,sí,0,73,alta,basica_o_primaria
1,aguascalientes,1,aguascalientes,17.0,3,B2,4,viuda,3,1,sí,4000,2,no,2,no,2,no,1,sí,0,73,baja,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,7.0,0,C2,6,soltera,3,2,no,0,2,no,2,no,2,no,2,no,0,99,baja,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,3,1,sí,3700,1,sí,2,no,2,no,2,no,0,99,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,0,C2,6,soltera,3,2,no,0,1,sí,2,no,2,no,1,sí,0,99,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,2,no,0,2,no,1,sí,2,no,2,no,0,99,baja,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,2,no,0,1,sí,2,no,1,sí,1,sí,0,199,alta,basica_o_primaria
1,aguascalientes,1,aguascalientes,17.0,3,B2,4,viuda,3,1,sí,810,1,sí,1,sí,2,no,1,sí,1,70,media,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,7.0,1,A1,1,unión libre,3,1,sí,5000,1,sí,2,no,2,no,2,no,0,70,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,3,1,sí,8000,1,sí,2,no,1,sí,2,no,1,70,alta,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,0,C2,6,soltera,3,1,sí,7500,1,sí,2,no,2,no,2,no,0,70,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,3,1,sí,3700,1,sí,2,no,2,no,2,no,0,140,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,3,2,no,0,2,no,2,no,2,no,1,sí,0,148,baja,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,1,sí,1200,1,sí,2,no,2,no,1,sí,0,74,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,0,C2,6,soltera,3,2,no,0,1,sí,2,no,2,no,1,sí,0,148,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,2,no,0,1,sí,2,no,2,no,2,no,0,222,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,1,A1,1,unión libre,3,1,sí,6000,2,no,2,no,2,no,2,no,0,74,baja,basica_o_primaria
1,aguascalientes,1,aguascalientes,11.0,3,B2,4,viuda,3,2,no,0,1,sí,1,sí,1,sí,2,no,1,197,alta,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,7.0,3,B2,4,viuda,3,2,no,0,1,sí,2,no,2,no,1,sí,1,99,media,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,1,sí,8000,1,sí,2,no,2,no,1,sí,1,296,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,2,no,0,1,sí,2,no,1,sí,1,sí,1,76,alta,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,1,sí,2400,1,sí,2,no,2,no,2,no,1,229,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,1,sí,15000,1,sí,2,no,1,sí,1,sí,0,76,alta,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,1,sí,6000,1,sí,2,no,2,no,1,sí,0,75,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,2,no,0,2,no,2,no,2,no,2,no,1,224,baja,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,2,no,0,1,sí,1,sí,2,no,1,sí,0,75,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,3,1,sí,8000,1,sí,2,no,2,no,1,sí,1,224,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,3,2,no,0,1,sí,2,no,2,no,2,no,0,224,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,3,1,sí,1500,1,sí,2,no,2,no,2,no,1,91,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,1,A1,6,soltera,3,1,sí,2000,1,sí,2,no,2,no,2,no,0,91,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,0,C2,6,soltera,3,1,sí,600,2,no,2,no,2,no,1,sí,0,91,baja,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,3,2,no,0,2,no,2,no,2,no,1,sí,0,91,baja,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,2,no,0,1,sí,2,no,1,sí,1,sí,1,98,alta,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,2,no,0,1,sí,1,sí,2,no,1,sí,0,98,media,basica_o_primaria
