cve_entidad,nom_entidad,cve_municipio,nom_municipio,edad_primer_union,num_hijos,nivel_escolaridad,estado_civil_id,estado_civil_desc,estrato_socioeconomico,pareja_trabaja_id,pareja_trabaja_desc,ingreso_pareja,dinero_propio_id,dinero_propio_desc,apoyo_gobierno_id,apoyo_gobierno_desc,tiene_ahorros_id,tiene_ahorros_desc,propietaria_vivienda_id,propietaria_vivienda_desc,sufrio_violencia_pareja,factor_expansion,anio_encuesta
27,TABASCO,4,CENTRO,,4.0,A1,5,Casada,2,2,No,,1,Sí,2,No,2,No,2,No,0,151,2021
27,TABASCO,4,CENTRO,23.0,4.0,B2,4,Viuda,2,2,No,,1,Sí,1,Sí,2,No,1,Sí,0,303,2021
27,TABASCO,4,CENTRO,22.0,1.0,B1,2,Separada,2,2,No,,2,No,2,No,2,No,1,Sí,0,151,2021
27,TABASCO,4,CENTRO,0.0,3.0,B2,4,Viuda,2,2,No,,1,Sí,2,No,2,No,1,Sí,0,303,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,3,1,Sí,1400.0,1,Sí,2,No,2,No,2,No,0,195,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,3,1,Sí,3500.0,1,Sí,2,No,2,No,2,No,0,195,2021
27,TABASCO,4,CENTRO,,3.0,A1,5,Casada,3,1,Sí,24000.0,1,Sí,2,No,1,Sí,1,Sí,0,195,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,3,2,No,,1,Sí,2,No,2,No,1,Sí,0,195,2021
27,TABASCO,4,CENTRO,16.0,3.0,B1,3,Divorciada,3,1,Sí,8000.0,1,Sí,2,No,2,No,1,Sí,1,586,2021
27,TABASCO,4,CENTRO,,3.0,A1,5,Casada,3,2,No,,2,No,2,No,2,No,2,No,0,146,2021
27,TABASCO,4,CENTRO,20.0,1.0,B1,2,Separada,3,2,No,,2,No,2,No,2,No,1,Sí,1,146,2021
27,TABASCO,4,CENTRO,2.0,1.0,B1,2,Separada,3,1,Sí,3500.0,1,Sí,2,No,2,No,1,Sí,0,293,2021
27,TABASCO,4,CENTRO,12.0,1.0,B1,2,Separada,3,1,Sí,700.0,2,No,2,No,2,No,2,No,0,153,2021
27,TABASCO,4,CENTRO,,3.0,A1,5,Casada,3,1,Sí,1800.0,1,Sí,2,No,2,No,1,Sí,0,305,2021
27,TABASCO,4,CENTRO,,,C2,6,Soltera,2,2,No,,1,Sí,2,No,2,No,2,No,0,410,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,2,2,No,,2,No,2,No,2,No,2,No,0,205,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,2,1,Sí,1100.0,1,Sí,2,No,2,No,1,Sí,0,205,2021
27,TABASCO,4,CENTRO,,4.0,A1,5,Casada,2,1,Sí,1000.0,2,No,2,No,2,No,1,Sí,0,205,2021
27,TABASCO,4,CENTRO,,3.0,A1,5,Casada,2,2,No,,1,Sí,2,No,2,No,2,No,0,205,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,2,2,No,,2,No,2,No,2,No,1,Sí,0,541,2021
27,TABASCO,4,CENTRO,,4.0,A1,5,Casada,2,2,No,,2,No,1,Sí,2,No,1,Sí,0,180,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,2,1,Sí,3000.0,1,Sí,2,No,1,Sí,2,No,0,180,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,2,2,No,,2,No,2,No,2,No,1,Sí,0,180,2021
27,TABASCO,4,CENTRO,,4.0,A1,5,Casada,2,2,No,,2,No,1,Sí,2,No,1,Sí,0,180,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,2,2,No,,1,Sí,1,Sí,2,No,2,No,1,175,2021
27,TABASCO,4,CENTRO,3.0,4.0,B1,3,Divorciada,2,1,Sí,1000.0,2,No,2,No,2,No,2,No,1,350,2021
27,TABASCO,4,CENTRO,,,C1,6,Soltera,2,1,Sí,1300.0,1,Sí,2,No,1,Sí,2,No,0,525,2021
27,TABASCO,4,CENTRO,,4.0,A1,5,Casada,2,2,No,,2,No,2,No,2,No,2,No,0,175,2021
27,TABASCO,4,CENTRO,99.0,1.0,B2,4,Viuda,2,1,Sí,500.0,2,No,1,Sí,2,No,1,Sí,0,175,2021
27,TABASCO,4,CENTRO,98.0,3.0,B1,3,Divorciada,2,1,Sí,999998.0,2,No,2,No,2,No,1,Sí,0,179,2021
27,TABASCO,4,CENTRO,8.0,3.0,B1,2,Separada,2,2,No,,2,No,2,No,2,No,1,Sí,0,179,2021
27,TABASCO,4,CENTRO,26.0,1.0,B1,2,Separada,2,2,No,,2,No,2,No,2,No,1,Sí,0,537,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,2,2,No,,2,No,2,No,2,No,2,No,0,179,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,2,1,Sí,8000.0,1,Sí,2,No,2,No,1,Sí,0,156,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,2,1,Sí,3000.0,1,Sí,2,No,2,No,2,No,0,156,2021
27,TABASCO,4,CENTRO,12.0,1.0,B1,2,Separada,2,1,Sí,2500.0,1,Sí,2,No,2,No,2,No,0,313,2021
27,TABASCO,4,CENTRO,2.0,1.0,B1,2,Separada,2,1,Sí,1200.0,2,No,2,No,2,No,2,No,1,313,2021
27,TABASCO,4,CENTRO,21.0,4.0,B2,4,Viuda,2,2,No,,2,No,2,No,2,No,1,Sí,0,156,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,2,1,Sí,400.0,2,No,2,No,2,No,2,No,1,373,2021
27,TABASCO,4,CENTRO,,,C2,6,Soltera,2,2,No,,2,No,2,No,2,No,1,Sí,0,373,2021
27,TABASCO,4,CENTRO,20.0,1.0,B1,2,Separada,2,1,Sí,400.0,2,No,2,No,2,No,1,Sí,1,186,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,2,1,Sí,700.0,2,No,2,No,1,Sí,2,No,0,186,2021
27,TABASCO,4,CENTRO,,4.0,A1,5,Casada,2,2,No,,2,No,2,No,2,No,1,Sí,0,327,2021
27,TABASCO,4,CENTRO,,4.0,A1,5,Casada,2,1,Sí,10000.0,2,No,2,No,2,No,1,Sí,1,164,2021
27,TABASCO,4,CENTRO,,4.0,A1,5,Casada,2,1,Sí,500.0,1,Sí,2,No,2,No,2,No,0,164,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,2,1,Sí,3000.0,2,No,2,No,2,No,2,No,0,164,2021
27,TABASCO,4,CENTRO,,3.0,A1,5,Casada,2,1,Sí,400.0,2,No,2,No,2,No,1,Sí,0,413,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,2,2,No,,2,No,2,No,2,No,2,No,0,206,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,2,2,No,,1,Sí,2,No,2,No,2,No,0,413,2021
27,TABASCO,4,CENTRO,24.0,1.0,B2,4,Viuda,2,2,No,,2,No,2,No,2,No,2,No,0,413,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,2,2,No,,2,No,2,No,2,No,1,Sí,0,670,2021
27,TABASCO,4,CENTRO,3.0,1.0,B2,4,Viuda,2,1,Sí,1400.0,1,Sí,2,No,2,No,1,Sí,0,223,2021
27,TABASCO,4,CENTRO,,4.0,A1,5,Casada,2,2,No,,2,No,2,No,2,No,1,Sí,0,223,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,2,1,Sí,1750.0,1,Sí,2,No,2,No,2,No,0,223,2021
27,TABASCO,4,CENTRO,,,C1,2,Separada,2,2,No,,1,Sí,2,No,2,No,2,No,0,151,2021
27,TABASCO,4,CENTRO,,,C1,6,Soltera,2,1,Sí,2900.0,1,Sí,2,No,2,No,2,No,1,151,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,2,1,Sí,2500.0,1,Sí,2,No,2,No,1,Sí,0,151,2021
27,TABASCO,4,CENTRO,50.0,1.0,B1,6,Soltera,2,1,Sí,3500.0,1,Sí,1,Sí,2,No,2,No,1,151,2021
27,TABASCO,4,CENTRO,,4.0,A1,5,Casada,2,2,No,,1,Sí,2,No,1,Sí,1,Sí,0,600,2021
27,TABASCO,4,CENTRO,,3.0,A1,5,Casada,2,1,Sí,8000.0,1,Sí,2,No,2,No,2,No,0,300,2021
27,TABASCO,4,CENTRO,,,C1,6,Soltera,2,2,No,,1,Sí,2,No,1,Sí,1,Sí,0,300,2021
27,TABASCO,4,CENTRO,,3.0,A1,5,Casada,2,1,Sí,1100.0,1,Sí,2,No,2,No,2,No,0,150,2021
27,TABASCO,4,CENTRO,,3.0,A1,5,Casada,2,2,No,,1,Sí,2,No,2,No,1,Sí,0,139,2021
27,TABASCO,4,CENTRO,35.0,1.0,B1,2,Separada,2,1,Sí,300.0,2,No,1,Sí,2,No,2,No,0,278,2021
27,TABASCO,4,CENTRO,,,C1,6,Soltera,2,2,No,,1,Sí,1,Sí,2,No,2,No,0,418,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,2,2,No,,2,No,2,No,2,No,2,No,0,186,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,2,2,No,,1,Sí,2,No,1,Sí,2,No,0,186,2021
27,TABASCO,4,CENTRO,,4.0,A1,5,Casada,2,1,Sí,2500.0,2,No,2,No,2,No,2,No,0,186,2021
27,TABASCO,4,CENTRO,16.0,4.0,B2,4,Viuda,2,2,No,,1,Sí,1,Sí,2,No,1,Sí,0,186,2021
27,TABASCO,4,CENTRO,,4.0,A1,5,Casada,2,2,No,,2,No,2,No,2,No,1,Sí,1,186,2021
27,TABASCO,4,CENTRO,,3.0,A1,5,Casada,3,1,Sí,1500.0,2,No,2,No,2,No,1,Sí,0,198,2021
27,TABASCO,4,CENTRO,,,C1,6,Soltera,3,2,No,,2,No,2,No,2,No,2,No,0,531,2021
27,TABASCO,4,CENTRO,,,C1,6,Soltera,3,2,No,,1,Sí,2,No,2,No,1,Sí,1,354,2021
27,TABASCO,4,CENTRO,,3.0,A1,5,Casada,3,2,No,,2,No,1,Sí,2,No,2,No,0,354,2021
27,TABASCO,4,CENTRO,1.0,3.0,B2,4,Viuda,3,1,Sí,18000.0,1,Sí,2,No,1,Sí,2,No,0,177,2021
27,TABASCO,4,CENTRO,,,C2,6,Soltera,3,2,No,,2,No,2,No,2,No,2,No,0,177,2021
27,TABASCO,4,CENTRO,,3.0,A1,5,Casada,4,2,No,,1,Sí,2,No,2,No,1,Sí,1,179,2021
27,TABASCO,4,CENTRO,,,C2,6,Soltera,4,1,Sí,13500.0,1,Sí,2,No,1,Sí,2,No,0,538,2021
27,TABASCO,4,CENTRO,,4.0,A1,5,Casada,4,1,Sí,4000.0,1,Sí,2,No,2,No,1,Sí,0,179,2021
27,TABASCO,4,CENTRO,,,C1,6,Soltera,4,2,No,,1,Sí,2,No,2,No,1,Sí,0,359,2021
27,TABASCO,4,CENTRO,13.0,4.0,B1,2,Separada,4,2,No,,1,Sí,2,No,2,No,2,No,1,538,2021
27,TABASCO,4,CENTRO,,4.0,A1,5,Casada,3,2,No,,2,No,2,No,2,No,1,Sí,0,236,2021
27,TABASCO,4,CENTRO,,,C2,6,Soltera,3,1,Sí,6000.0,2,No,2,No,2,No,2,No,0,472,2021
27,TABASCO,4,CENTRO,,4.0,A1,5,Casada,3,1,Sí,9000.0,2,No,2,No,2,No,2,No,0,236,2021
